objectname,objectid,rating,baverage,average,avgweight,rank,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,imageid,year,language,other,itemtype
Once Upon a Time: The Storytelling Card Game,1234,0,6.29076,6.46081,1.3961,1247,Once Upon a Time: The Storytelling Card Game,2,6,30,30,30,1993,"3,4,5,6","5,6",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
One Night Revolution,176361,0,5.88796,6.24816,1.8889,2553,One Night Revolution,3,10,15,15,15,2015,"4,5,6,7,8,9,10","5,6",10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
One Night Ultimate Alien,204431,0,5.9692,7.3373,2.1429,2164,One Night Ultimate Alien,4,10,10,10,10,2017,"4,5,6,7,8,9,10","6,7",8+,,,,,,standalone
One Night Ultimate Vampire,180956,0,6.17317,6.86853,1.5556,1527,One Night Ultimate Vampire,3,10,10,10,10,2015,"4,5,6,7,8","5,6,7",6+,,,,,,standalone
One Night Ultimate Werewolf,147949,0,7.12522,7.30173,1.4097,249,One Night Ultimate Werewolf,3,10,10,10,10,2014,"4,5,6,7,8,9,10","6,7,8",10+,No necessary in-game text,,,,,standalone
One Night Ultimate Werewolf Daybreak,163166,0,6.96799,7.50473,1.4714,366,One Night Ultimate Werewolf Daybreak,3,7,10,10,10,2015,"4,5,6,7","5,6,7",8+,No necessary in-game text,,,,,standalone
Onirim,71836,0,6.47604,6.72456,1.6532,911,Onirim,1,2,15,15,15,2010,"1,2",1,8+,No necessary in-game text,,,,,standalone
Open Sesame,124290,0,5.5534,5.96703,1.125,7999,Open Sesame,3,5,15,15,15,2012,"3,4,5",4,8+,No necessary in-game text,,,,,standalone
The Oracle of Delphi,193558,0,6.81513,7.39946,2.9818,514,The Oracle of Delphi,2,4,100,100,70,2016,"2,3,4","3,4",10+,No necessary in-game text,,,,,standalone
Orl??ans,164928,0,7.84446,8.08427,3.1071,25,Orl??ans,2,4,90,90,90,2014,"2,3,4",4,12+,No necessary in-game text,,,,,standalone
??sterreich Reise,110822,0,0,0,0,0,??sterreich Reise,2,6,45,45,45,2004,,,,,,,,,standalone
Out of Mine!,153509,0,5.51377,5.63447,1.1667,11053,Out of Mine!,2,4,20,20,20,2014,"2,3,4",,5?€?12,No necessary in-game text,,,,,standalone
P.I.,129050,0,6.18634,6.77906,2.2561,1494,P.I.,2,5,60,60,45,2012,"2,3,4,5",3,10+,No necessary in-game text,,,,,standalone
Pandemic,30549,0,7.57026,7.66152,2.4276,66,Pandemic,2,4,45,45,45,2008,"1,2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Pandemic: The Cure,150658,0,7.1234,7.39479,2.064,254,Pandemic: The Cure,2,5,30,30,30,2014,"1,2,3,4,5","3,4",8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Paramedics: Clear!,207010,0,5.59489,7.32825,2,6066,Paramedics: Clear!,1,4,40,40,30,2017,"2,3,4",4,,No necessary in-game text,,,,,standalone
Pariah Missouri (fan expansion for T.I.M.E Stories),205847,0,5.47725,4.92766,2,0,Pariah Missouri (fan expansion for T.I.M.E Stories),2,4,0,0,0,2016,,,,,,,,,expansion
Patchwork,163412,0,7.65565,7.77887,1.7135,50,Patchwork,2,2,30,30,15,2014,2,2,6+,No necessary in-game text,,,,,standalone
Pathfinder Adventure Card Game: Rise of the Runelords ?€? Base Set,133038,0,7.08955,7.32138,2.7162,273,Pathfinder Adventure Card Game: Rise of the Runelords ?€? Base Set,1,4,90,90,90,2013,"1,2,3,4","3,4",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Pay Dirt,125050,0,5.98051,6.87527,2.5778,2112,Pay Dirt,2,5,90,90,90,2014,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Penguin Trap,225981,0,5.54505,6.74837,0,8546,Penguin Trap,2,4,10,10,5,2017,,,,,,,,,standalone
Perfection,5588,0,4.94857,4.26889,1.0571,14921,Perfection,1,99,6,6,6,1973,"1,2",1,5?€?10,No necessary in-game text,,,,,standalone
Phase 10,1258,0,5.0773,5.08993,1.3132,14902,Phase 10,2,6,45,45,45,1982,"2,3,4,5,6",4,8+,No necessary in-game text,,,,,standalone
Pictionary Man Double Draw,214282,0,0,0,0,0,Pictionary Man Double Draw,3,0,30,0,30,2016,,,,,,,,,standalone
Pi??ata,141791,0,6.06871,6.86548,1.4667,1818,Pi??ata,2,2,30,30,30,2013,2,2,8+,No necessary in-game text,,,,,standalone
Pi??ata,141791,0,6.06871,6.86548,1.4667,1818,Pi??ata,2,2,30,30,30,2013,2,2,8+,No necessary in-game text,,,,,standalone
Pinocchio: True or False,166509,0,5.49809,5.5375,1.25,12264,Pinocchio: True or False,4,10,30,30,30,2014,,,,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Pit,140,0,6.25331,6.40596,1.1612,1340,Pit,3,8,90,90,30,1903,"4,5,6,7,8","6,7,8",8+,No necessary in-game text,,,,,standalone
PitchCar,150,0,7.03127,7.24257,1.127,316,PitchCar,2,8,30,30,30,1995,"2,3,4,5,6,7,8",6,5+,No necessary in-game text,,,,,standalone
Poker,1115,0,6.50939,6.69705,2.4652,859,Poker,2,10,60,60,60,1810,"3,4,5,6,7,8,9,10","5,6",14+,No necessary in-game text,,,,,standalone
Posthuman,171835,0,6.02047,6.6928,3.1778,1972,Posthuman,1,4,120,120,30,2015,"1,2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Potion Explosion,180974,0,6.91526,7.22571,1.7222,420,Potion Explosion,2,4,60,60,30,2015,"2,3,4",,8+,No necessary in-game text,,,,,standalone
Power Grid: The Card Game,203780,0,6.20218,6.94457,2.3333,1452,Power Grid: The Card Game,2,6,60,60,45,2016,"2,3,4,5,6","4,5",6+,No necessary in-game text,,,,,standalone
Praetor,137776,0,6.05134,6.66959,2.9855,1876,Praetor,2,5,75,75,75,2014,"2,3,4",,12+,No necessary in-game text,,,,,standalone
Probe,2060,0,5.57166,5.74896,1.5789,6988,Probe,2,4,60,60,60,1964,"3,4",4,10+,Unplayable in another language,,,,,standalone
Puerto Rico,3076,0,7.96109,8.07169,3.2943,14,Puerto Rico,2,5,150,150,90,2002,"2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Pyramis,110655,0,0,4.98667,1.3333,0,Pyramis,2,4,20,20,20,2011,2,2,8,No necessary in-game text,,,,,standalone
Quarto,681,0,6.53325,6.82797,2.0108,823,Quarto,2,2,20,20,20,1991,2,2,8+,No necessary in-game text,,,,,standalone
Quickpick: Island of Monster Masks,183452,0,5.54514,6.62245,1,8537,Quickpick: Island of Monster Masks,3,8,0,0,0,2015,"4,5,6,7","4,5,6,7",5+,No necessary in-game text,,,,,standalone
Quoridor,624,0,6.43219,6.68788,1.9127,975,Quoridor,2,4,15,15,15,1997,"2,4",2,8+,No necessary in-game text,,,,,standalone
Race for the Galaxy,28143,0,7.67614,7.76633,2.9725,45,Race for the Galaxy,2,4,60,60,30,2007,"2,3,4",2,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Raxxon,231197,0,5.79998,6.99806,2.1,3089,Raxxon,1,4,60,60,45,2017,"1,2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Relic,128442,0,6.38268,6.88599,2.4667,1056,Relic,2,4,180,180,180,2013,"2,3,4","3,4",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
The Resistance,41114,0,7.28021,7.38915,1.6312,160,The Resistance,5,10,30,30,30,2009,"5,6,7,8,9,10",7,12+,No necessary in-game text,,,,,standalone
The Resistance: Avalon,128882,0,7.51281,7.68075,1.7829,77,The Resistance: Avalon,5,10,30,30,30,2012,"5,6,7,8,9,10","7,8",12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Revolution!,34887,0,6.43732,6.73843,2.0422,967,Revolution!,3,4,60,60,60,2009,"3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Rex: Final Days of an Empire,104363,0,6.74112,7.14252,3.2566,588,Rex: Final Days of an Empire,3,6,120,120,120,2012,"4,5,6",6,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Rhino Hero,91514,0,6.73668,7.03677,1.032,590,Rhino Hero,2,5,15,15,5,2011,"2,3,4,5",3,4+,No necessary in-game text,,,,,standalone
Rialto,119591,0,6.59733,6.96215,2.5504,736,Rialto,2,5,45,45,45,2013,"2,3,4,5",4,10+,No necessary in-game text,,,,,standalone
Rising 5: Runes of Asteros,185196,0,5.74707,7.05843,1.8333,3487,Rising 5: Runes of Asteros,1,5,25,25,15,2017,"2,3,4",2,,No necessary in-game text,,,,,standalone
Rivals for Catan: Deluxe,203219,0,5.61845,7.18979,2.25,0,Rivals for Catan: Deluxe,2,2,60,60,45,2016,2,2,,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
RoboRally,18,0,7.01515,7.12959,2.4335,327,RoboRally,2,8,120,120,45,1994,"3,4,5,6,7,8","5,6",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Rococo,144344,0,7.21899,7.5694,3.1173,191,Rococo,2,5,120,120,60,2013,"2,3,4,5",3,12+,No necessary in-game text,,,,,standalone
Rolling Freight,74390,0,6.03761,6.84911,3.0175,1923,Rolling Freight,2,5,180,180,120,2012,"2,3,4","3,4",16+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Rory's Story Cubes,20545,0,6.0733,6.37293,1.152,1802,Rory's Story Cubes,1,12,20,20,20,2005,"1,2,3,4,5,6,7","2,3,4",4+,No necessary in-game text,,,,,standalone
Rory's Story Cubes: Actions,89415,0,5.88099,6.47863,1.2083,2591,Rory's Story Cubes: Actions,1,12,20,20,20,2007,"2,3,4,5","3,4",5+,No necessary in-game text,,,,,standalone
Rory's Story Cubes: Batman,182541,0,5.5707,6.52222,1,7038,Rory's Story Cubes: Batman,1,12,15,15,15,2015,,,,,,,,,standalone
Rory's Story Cubes: Voyages,115233,0,5.91952,6.6557,1.0294,2400,Rory's Story Cubes: Voyages,1,12,20,20,20,2011,"2,3,4,5",3,5+,No necessary in-game text,,,,,standalone
The Rose King,201,0,6.43478,6.8225,1.9677,971,The Rose King,2,2,30,30,30,1992,2,2,8+,No necessary in-game text,,,,,standalone
Rummikub,811,0,6.1703,6.31061,1.7766,1535,Rummikub,2,4,60,60,60,1977,"2,3,4",4,8+,No necessary in-game text,,,,,standalone
Rumplestiltskin!,161720,0,0,5.328,1,0,Rumplestiltskin!,7,20,0,0,0,2014,2,2,,,,,,,standalone
Runebound (Second Edition),21523,0,6.655,6.89999,2.6804,672,Runebound (Second Edition),2,6,240,240,120,2005,"1,2,3,4",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Rush Hour,5082,0,5.57923,6.14994,1.5,6639,Rush Hour,2,6,60,60,60,1981,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Saboteur,9220,0,6.52316,6.62551,1.3318,837,Saboteur,3,10,30,30,30,2004,"5,6,7,8,9,10","7,8",8+,No necessary in-game text,,,,,standalone
Safe Breaker,165889,0,5.54184,6.14267,1,8773,Safe Breaker,3,6,10,10,10,2014,"3,4,5,6",5,,,,,,,standalone
Saigo no Kane,32995,0,5.59461,6.46667,3.0833,6072,Saigo no Kane,2,4,60,60,60,2008,"2,3,4",3,12+,No necessary in-game text,,,,,standalone
Samurai,3,0,7.271,7.43859,2.5044,162,Samurai,2,4,60,60,30,1998,"2,3,4",3,10+,No necessary in-game text,,,,,standalone
Santorini,194655,0,7.56667,7.86769,1.7702,67,Santorini,2,4,20,20,20,2016,"2,3,4",2,6+,No necessary in-game text,,,,,standalone
Say Anything,33604,0,6.55905,6.81482,1.0964,784,Say Anything,3,8,30,30,30,2008,"4,5,6,7,8","6,7,8",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Scotland Yard,438,0,6.38929,6.50805,1.9633,1042,Scotland Yard,3,6,45,45,45,1983,"2,3,4,5,6",,8+,No necessary in-game text,,,,,standalone
Scrabble,320,0,6.1918,6.29305,2.1252,1480,Scrabble,2,4,90,90,90,1948,"2,3,4",2,10+,Unplayable in another language,,,,,standalone
Sentinel Tactics: The Flame of Freedom,146408,0,6.01143,6.89268,2.5,2007,Sentinel Tactics: The Flame of Freedom,2,8,45,45,45,2014,"2,3,4,5,6",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Sentinel Tactics: Uprising,158326,0,5.71028,7.04578,2.6667,0,Sentinel Tactics: Uprising,0,0,45,45,45,2014,,,,,,,,,expansion
Sentinels of the Multiverse,102652,0,7.11232,7.3219,2.5039,260,Sentinels of the Multiverse,1,5,60,60,30,2011,"1,2,3,4,5",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Sentinels of the Multiverse: Shattered Timelines,132959,0,7.14677,8.20938,2.42,0,Sentinels of the Multiverse: Shattered Timelines,2,5,60,60,60,2013,"2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
Sequence,2375,0,5.79996,5.93675,1.3529,3090,Sequence,2,12,30,30,0,1982,"2,3,4,6","3,4",6+,No necessary in-game text,,,,,standalone
SET,1198,0,6.31105,6.48173,1.6997,1207,SET,2,20,30,30,30,1988,"1,2,3,4,5,6,7,8","3,4",6+,No necessary in-game text,,,,,standalone
Shadows over Camelot,15062,0,7.03271,7.15178,2.5648,315,Shadows over Camelot,3,7,80,80,60,2005,"4,5,6,7","5,6,7",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Sheriff of Nottingham,157969,0,7.15562,7.28717,1.6717,229,Sheriff of Nottingham,3,5,60,60,60,2014,"3,4,5",5,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Sherlock 13,149869,0,5.64523,6.40756,1.8,4829,Sherlock 13,2,4,15,15,15,2013,"3,4",4,8+,No necessary in-game text,,,,,standalone
Shifty Eyed Spies,232830,0,5.58805,7.18018,1.25,6296,Shifty Eyed Spies,4,8,20,0,20,2017,"4,5,6,7,8","6,7,8",6+,,,,,,standalone
Sid Meier's Civilization: The Board Game,77130,0,7.27727,7.4856,3.8602,161,Sid Meier's Civilization: The Board Game,2,4,240,240,120,2010,"2,3,4",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Slide Blast,206169,0,5.62449,6.82909,1.5,5268,Slide Blast,2,6,20,20,10,2016,"3,4,5,6",6,5?€?10,No necessary in-game text,,,,,standalone
Small World,40692,0,7.25233,7.33419,2.3672,169,Small World,2,5,80,80,40,2009,"2,3,4,5",4,8+,No necessary in-game text,,,,,standalone
Smash Up,122522,0,6.71601,6.8582,2.0457,603,Smash Up,2,4,45,45,45,2012,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Snake Oil: Elixir,156097,0,5.60143,7.53879,1,5843,Snake Oil: Elixir,3,8,30,30,30,2015,,,,,,,,,standalone
Snake Oil: Party Potion,156096,0,5.67689,7.34612,1.5,4307,Snake Oil: Party Potion,3,6,30,30,30,2014,,,,,,,,,standalone
Snow Tails,38054,0,6.74279,6.99931,2.0455,586,Snow Tails,2,5,60,60,45,2008,"2,3,4,5",5,10+,No necessary in-game text,,,,,standalone
Soulfall,175510,0,5.64746,6.44243,2.2667,4791,Soulfall,2,4,45,45,30,2015,"1,2,3",,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Space Alert,38453,0,7.3293,7.50782,2.9351,138,Space Alert,1,5,30,30,30,2008,"3,4,5","4,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Space Alert: The New Frontier,61492,0,6.9117,8.53391,3.3448,0,Space Alert: The New Frontier,1,5,30,30,30,2010,"1,2,3,4,5","4,5",10+,Some necessary text - easily memorized or small crib sheet,,,,,expansion
Space Hulk (fourth edition),165838,0,6.71324,8.03282,2.7059,606,Space Hulk (fourth edition),2,2,60,60,60,2014,"1,2",2,12+,No necessary in-game text,,,,,standalone
Space Hulk: Death Angel ?€? The Card Game,71721,0,6.8123,6.99389,2.4118,519,Space Hulk: Death Angel ?€? The Card Game,1,6,30,30,30,2010,"1,2,3,4,5,6",1,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Spartacus: A Game of Blood & Treachery,128671,0,7.08768,7.48574,2.6833,275,Spartacus: A Game of Blood & Treachery,3,4,150,150,150,2012,"3,4",4,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Speed Cups,146149,0,5.77858,6.21577,1.0588,3252,Speed Cups,2,4,15,15,15,2013,"2,3,4",4,5+,No necessary in-game text,,,,,standalone
Splendor,148228,0,7.40292,7.51152,1.8358,107,Splendor,2,4,30,30,30,2014,"2,3,4",3,8+,No necessary in-game text,,,,,standalone
Spyfall,166384,0,6.97054,7.10863,1.2755,363,Spyfall,3,8,15,15,15,2014,"4,5,6,7,8",6,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Star Wars: Empire vs. Rebellion,160964,0,5.97694,6.41016,1.7121,2128,Star Wars: Empire vs. Rebellion,2,2,60,60,60,2014,2,2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Star Wars: X-Wing Miniatures Game,103885,0,7.63139,7.84288,2.4718,56,Star Wars: X-Wing Miniatures Game,2,2,45,45,30,2012,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Steam Park,121410,0,6.66828,6.95821,2.096,655,Steam Park,2,4,60,60,60,2013,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Steampunk Rally,162007,0,6.92399,7.35938,2.5192,413,Steampunk Rally,2,8,60,60,45,2015,"2,3,4,5,6,7","4,5",10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Stop Thief!,215312,0,5.96178,7.13643,1.6,2206,Stop Thief!,2,4,60,60,30,2017,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Student Bodies,132799,0,5.62566,6.60269,2.6154,5244,Student Bodies,2,5,90,90,90,2014,"2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Summoner Wars,58281,0,6.98212,7.31946,2.3031,353,Summoner Wars,2,4,60,60,30,2009,"2,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Sunny Day,231960,0,0,6.975,1,0,Sunny Day,2,4,30,30,20,2017,"2,3,4","2,3,4",6+,No necessary in-game text,,,,,standalone
Survive: Escape from Atlantis!,2653,0,7.1698,7.32016,1.7117,223,Survive: Escape from Atlantis!,2,4,60,60,45,1982,"2,3,4",4,8+,No necessary in-game text,,,,,standalone
Sushi Draft,144865,0,5.5262,5.72531,1.4118,10011,Sushi Draft,3,5,15,15,15,2012,"3,4,5",5,6+,No necessary in-game text,,,,,standalone
Sushi Go!,133473,0,7.01333,7.12582,1.1702,330,Sushi Go!,2,5,15,15,15,2013,"2,3,4,5",4,6+,No necessary in-game text,,,,,standalone
SUTAKKU,101796,0,5.65146,6.25076,1,4711,SUTAKKU,1,12,15,15,15,2011,"1,2,3,4,5",,8+,No necessary in-game text,,,,,standalone
Sword & Sorcery,170771,0,6.70315,8.31091,3.8621,618,Sword & Sorcery,1,5,90,90,60,2017,"1,2,3,4,5",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Sylvion,143405,0,6.57211,7.2696,2.0299,768,Sylvion,1,2,30,30,30,2015,"1,2",1,8+,No necessary in-game text,,,,,standalone
Synapse,37319,0,0,6.25,1,0,Synapse,4,24,30,30,30,2008,,,,,,,,,standalone
T.I.M.E Stories,146508,0,7.7222,7.94047,2.6697,41,T.I.M.E Stories,2,4,240,240,90,2015,"3,4",4,14+,Unplayable in another language,,,,,standalone
T.I.M.E Stories: A Prophecy of Dragons,189035,0,7.18719,7.85069,2.6,0,T.I.M.E Stories: A Prophecy of Dragons,2,4,180,180,90,2016,"2,3,4",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
T.I.M.E Stories: Expedition ?€? Endurance,193527,0,6.56115,7.51778,2.1429,0,T.I.M.E Stories: Expedition ?€? Endurance,2,4,90,90,60,2017,"3,4",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
T.I.M.E Stories: Lumen Fidei,213099,0,6.36541,7.82548,3.1429,0,T.I.M.E Stories: Lumen Fidei,2,4,90,0,90,2017,"2,3,4","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
T.I.M.E Stories: The Marcy Case,180585,0,7.26463,7.77341,2.5862,0,T.I.M.E Stories: The Marcy Case,2,4,90,90,60,2015,"2,3,4",4,12+,Unplayable in another language,,,,,expansion
T.I.M.E Stories: Under the Mask,189686,0,6.81661,7.5671,2.3158,0,T.I.M.E Stories: Under the Mask,2,4,90,0,90,2016,"2,3,4",4,12+,Unplayable in another language,,,,,expansion
Taboo,1111,0,6.13291,6.2802,1.2325,1628,Taboo,4,10,20,20,20,1989,"4,5,6,7,8,9,10","6,8",10+,Unplayable in another language,,,,,standalone
Taiga,86542,0,5.56488,6.42115,1.1111,7348,Taiga,2,6,15,15,15,2010,,,4,,,,,,standalone
Takenoko,70919,0,7.21019,7.33316,1.9802,196,Takenoko,2,4,45,45,45,2011,"2,3,4",3,8+,No necessary in-game text,,,,,standalone
Takenoko: Chibis,174095,0,6.80537,7.58612,1.8571,0,Takenoko: Chibis,2,4,45,0,45,2015,"2,3,4",3,8+,No necessary in-game text,,,,,expansion
Talat,39406,0,5.6042,6.41164,2,5767,Talat,2,3,33,33,33,2008,"2,3",3,6,No necessary in-game text,,,,,standalone
Tales & Games: The Hare & the Tortoise,130176,0,6.66862,7.17896,1.4444,653,Tales & Games: The Hare & the Tortoise,2,5,20,20,15,2011,"2,3,4,5",4,8+,No necessary in-game text,,,,,standalone
Tales & Games: The Three Little Pigs,135649,0,6.06723,6.53033,1.1579,1825,Tales & Games: The Three Little Pigs,2,5,20,20,20,2013,"2,3,4,5",4,5+,No necessary in-game text,,,,,standalone
Tales of the Arabian Nights,34119,0,7.04137,7.26519,2.1634,306,Tales of the Arabian Nights,1,6,120,120,120,2009,"2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Targi,118048,0,7.3167,7.60482,2.3849,144,Targi,2,2,60,60,60,2012,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Tatsu,181811,0,5.72333,6.86915,1.6667,3724,Tatsu,2,2,45,45,30,2016,2,2,8+,No necessary in-game text,,,,,standalone
Te Kuiti,149885,0,5.52578,6.14286,1.1429,10053,Te Kuiti,1,2,20,20,20,2015,,,6+,,,,,,standalone
Telepathy: Magic Minds,191374,0,5.59013,6.99779,1.25,6219,Telepathy: Magic Minds,2,2,20,20,10,2016,2,2,10+,No necessary in-game text,,,,,standalone
Telestrations,46213,0,7.18358,7.42688,1.1007,216,Telestrations,4,8,30,30,30,2009,"5,6,7,8",8,8+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Terraforming Mars,167791,0,8.17327,8.38502,3.2433,5,Terraforming Mars,1,5,120,120,120,2016,"1,2,3,4","3,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Terraforming Mars: Hellas & Elysium,218127,0,7.02574,8.3636,3.2222,0,Terraforming Mars: Hellas & Elysium,1,5,120,120,90,2017,"1,2,3,4,5","3,4",12+,No necessary in-game text,,,,,expansion
Terraforming Mars: Venus Next,231965,0,6.46571,8.28913,3,0,Terraforming Mars: Venus Next,1,5,120,120,90,2017,"1,2,3,4",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,expansion
That's a Question!,226322,0,5.6093,6.00997,1,5634,That's a Question!,3,6,30,0,30,2017,"4,5,6",6,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
This Game is Bonkers!,1943,0,5.52761,5.71108,1.3043,9897,This Game is Bonkers!,2,4,10,10,10,1978,"2,3,4",4,10?€?14,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Three Cheers for Master,175961,0,5.73935,6.46768,1.75,3559,Three Cheers for Master,2,6,40,40,20,2015,"2,3,4,5,6",,10+,No necessary in-game text,,,,,standalone
Tichu,215,0,7.39294,7.60109,2.3438,112,Tichu,4,4,60,60,60,1991,4,4,12+,No necessary in-game text,,,,,standalone
Ticket to Ride,9209,0,7.37257,7.47006,1.8724,118,Ticket to Ride,2,5,60,60,30,2004,"2,3,4,5",4,8+,No necessary in-game text,,,,,standalone
Tides of Madness,195544,0,6.43568,7.05139,1.48,969,Tides of Madness,2,2,20,20,20,2016,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Tides of Time,176229,0,6.5373,6.77408,1.5962,816,Tides of Time,2,2,20,20,15,2015,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Tien Zi Que,39710,0,5.60719,6.23303,1.6667,5698,Tien Zi Que,2,2,20,20,20,2009,2,2,,No necessary in-game text,,,,,standalone
Tiki Topple,34373,0,6.02597,6.41905,1.3287,1953,Tiki Topple,2,4,20,20,20,2008,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Topito,220738,0,5.58719,7.07039,1,6338,Topito,2,4,15,0,15,2017,"2,3,4",3,6+,No necessary in-game text,,,,,standalone
Touch Down!,218609,0,0,6.91667,1,0,Touch Down!,2,4,15,15,15,2017,"2,4","2,4",6+,No necessary in-game text,,,,,standalone
Touch??,2763,0,5.51968,5.65993,1.75,10583,Touch??,2,2,30,30,30,1977,2,2,,,,,,,standalone
Tragedy Looper,148319,0,6.84487,7.34872,3.4533,484,Tragedy Looper,2,4,120,120,120,2011,"2,3,4",4,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Treasure Hunter,182189,0,6.31106,6.82845,1.863,1206,Treasure Hunter,2,6,40,40,40,2015,"3,4,5,6",4,8+,No necessary in-game text,,,,,standalone
Treasure Hunter: Expansion 1 ?€? Goblin's Loot,182573,0,5.62079,6.98967,2.2857,0,Treasure Hunter: Expansion 1 ?€? Goblin's Loot,2,6,35,35,20,2015,"3,4,5,6","4,5",6+,No necessary in-game text,,,,,expansion
Triumvirate,53168,0,6.02036,6.76338,1.9524,1973,Triumvirate,2,2,15,15,15,2009,2,2,10+,No necessary in-game text,,,,,standalone
Tsuro,16992,0,6.57578,6.68368,1.2541,763,Tsuro,2,8,15,15,15,2004,"2,3,4,5,6,7,8","4,6",6+,No necessary in-game text,,,,,standalone
Tsuro of the Seas,124172,0,6.35372,6.61229,1.4309,1110,Tsuro of the Seas,2,8,30,30,30,2012,"2,3,4,5,6,7,8",4,6+,No necessary in-game text,,,,,standalone
Tumblin' Monkeys,12826,0,5.45512,5.41109,1,14027,Tumblin' Monkeys,2,4,15,15,15,1999,"2,3,4","3,4",3+,No necessary in-game text,,,,,standalone
Twilight Imperium: Fourth Edition,233078,0,7.36058,9.06483,4.1522,121,Twilight Imperium: Fourth Edition,3,6,480,480,240,2017,"4,5,6",6,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Twilight Imperium: Fourth Edition,233078,0,7.36058,9.06483,4.1522,121,Twilight Imperium: Fourth Edition,3,6,480,480,240,2017,"4,5,6",6,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Tyrants of the Underdark,189932,0,7.06923,7.91999,2.5385,289,Tyrants of the Underdark,2,4,60,60,60,2016,"2,3,4",,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Ubongo,16986,0,6.5381,6.74588,1.553,813,Ubongo,1,4,25,25,25,2003,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Unearth,217085,0,6.24165,7.07797,1.9524,1368,Unearth,2,4,60,60,30,2017,"2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
